DateTime,Open,High,Low,Close,Volume
2005-01-03,1.3555,1.3576,1.3441,1.3487,0
2005-01-04,1.3486,1.3497,1.3252,1.3268,0
2005-01-05,1.3269,1.3303,1.3216,1.3261,0
2005-01-06,1.3262,1.3272,1.3158,1.3198,0
2005-01-07,1.3197,1.3251,1.3028,1.3053,0
2005-01-09,1.3053,1.3092,1.3053,1.3081,0
2005-01-10,1.3082,1.3137,1.3061,1.3134,0
2005-01-11,1.3133,1.3173,1.3103,1.3114,0
2005-01-12,1.3115,1.3295,1.3084,1.3255,0
2005-01-13,1.3254,1.3268,1.311,1.3112,0
2005-01-14,1.3117,1.3138,1.3058,1.3118,0
2005-01-16,1.3118,1.3121,1.3094,1.3112,0
2005-01-17,1.3113,1.3129,1.301,1.3035,0
2005-01-18,1.3033,1.3076,1.2997,1.3027,0
2005-01-19,1.3028,1.3119,1.2965,1.301,0
2005-01-20,1.3011,1.3027,1.2924,1.2956,0
2005-01-21,1.2957,1.3069,1.2945,1.3049,0
2005-01-23,1.3049,1.3058,1.3033,1.3048,0
2005-01-24,1.3049,1.31,1.3007,1.3023,0
2005-01-25,1.3024,1.3076,1.2947,1.2988,0
2005-01-26,1.2987,1.3109,1.2971,1.3077,0
2005-01-27,1.3076,1.3125,1.3013,1.3027,0
2005-01-28,1.3028,1.3081,1.2988,1.3044,0
2005-01-30,1.3044,1.3044,1.3009,1.3027,0
2005-01-31,1.3028,1.3061,1.2977,1.3052,0
2005-02-01,1.3051,1.3089,1.3004,1.308,0
2005-02-02,1.3081,1.3094,1.3012,1.3021,0
2005-02-03,1.3022,1.3038,1.2944,1.2971,0
2005-02-04,1.297,1.3045,1.2869,1.2873,0
2005-02-06,1.2832,1.2848,1.2828,1.2829,0
2005-02-07,1.283,1.2866,1.2734,1.2763,0
2005-02-08,1.2762,1.2799,1.2735,1.2759,0
2005-02-09,1.276,1.2824,1.2741,1.2814,0
2005-02-10,1.2815,1.2908,1.274,1.2878,0
2005-02-11,1.2879,1.2898,1.2848,1.2869,0
2005-02-13,1.2869,1.2957,1.2869,1.2935,0
2005-02-14,1.2936,1.2991,1.2928,1.2957,0
2005-02-15,1.2958,1.3054,1.2954,1.3022,0
